motif_family	TF	std_over_alpha_traj	std_over_beta_traj	cc_over_alpha_traj	time_max_cc_over_alpha_traj	cc_over_beta_traj	time_max_cc_over_beta_traj	z_score
Lhx5_Lmx1b_Lhx1	Lhx5	0.0147506002530139	0.00825712321719073	NaN	NaN	NaN	NaN	3.17165816626619
Lhx5_Lmx1b_Lhx1	Lmx1b	0.0147506002530139	0.00825712321719073	0.842755999758459	0	0.634358532803797	-6	3.17165816626619
Lhx5_Lmx1b_Lhx1	Lhx1	0.0147506002530139	0.00825712321719073	NaN	NaN	NaN	NaN	3.17165816626619
Max_Mycn	Max	0.0371764119371508	0.0402376904925646	0.759376780937327	-78	0.333270619241887	-131	4.21828106138211
Max_Mycn	Mycn	0.0371764119371508	0.0402376904925646	NaN	NaN	NaN	NaN	4.21828106138211
Maz_Mta3	Maz	0.00120238371952171	0.000750790274934952	NaN	NaN	NaN	NaN	2.10178016166282
Maz_Mta3	Mta3	0.00120238371952171	0.000750790274934952	0.225946709317408	1544	0.240485777419608	1532	2.10178016166282
Mbd2	Mbd2	0.00805450591646014	0.0136374406718352	0.894194871274264	-4	0.250821522013347	-1524	1.66893699719228
Mecom	Mecom	0.0161593170768589	0.00427562160447403	0.801096850669428	0	0.86031289505005	82	1.24011456795693
Mef2d_Mef2a	Mef2d	0.00638490075787608	0.00203176556097186	0.937941036796142	-1	0.219633922216839	1499	1.88281151222778
Mef2d_Mef2a	Mef2a	0.00638490075787608	0.00203176556097186	0.728553443395191	1	0.205205994967438	-1479	1.88281151222778
Meis1	Meis1	0.000830194714436514	0.0106425097548745	0.576725437249974	521	0.240063944085744	1520	1.26604316516402
Meis2	Meis2	0.0134954128174505	0.0123555088991209	0.996402013352578	0	0.998743501200715	0	1.41595266969699
Mga	Mga	0.00686882721380894	0.0170728753128087	0.276835199606085	1547	0.263192400104388	-1528	1.99280200877035
Mnx1_Lhx6_Lmx1a	Mnx1	0.0149356371998137	0.0826421482821328	0.240309492675194	-1673	0.24594812090481	1496	1.55756348476913
Mnx1_Lhx6_Lmx1a	Lhx6	0.0149356371998137	0.0826421482821328	NaN	NaN	NaN	NaN	1.55756348476913
Mnx1_Lhx6_Lmx1a	Lmx1a	0.0149356371998137	0.0826421482821328	NaN	NaN	NaN	NaN	1.55756348476913
Mtf1	Mtf1	0.0391113714316049	0.0415459187834344	0.307298326113355	-1554	0.170805346592554	-1503	1.62060447108886
Myog_Tcf12	Myog	0.0112779254338134	0.0100526091905805	NaN	NaN	NaN	NaN	2.36495776957687
Myog_Tcf12	Tcf12	0.0112779254338134	0.0100526091905805	0.29476889573686	-274	0.260341508997201	-1496	2.36495776957687
Neurod1	Neurod1	0.00315889484254695	0.0192570754225688	0.842331552864111	0	0.981045972443208	0	1.30898622738922
Nfat5	Nfat5	0.0324175154360525	0.04046613306366	0.316585564106406	-1640	0.219802943883636	-1480	1.47087614972002
Nfatc2	Nfatc2	0.0136518239979556	0.0194780907291082	0.270900020629426	-1607	0.250937419101708	-1528	1.33340475954158
Nfatc3	Nfatc3	0.00253233994871678	0.0415744769147535	0.332693108558825	-1529	0.376515941116967	-123	1.15127980197505
